0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:23:13 -0500] "GET /loginTest.html HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:23:14 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:23:22 -0500] "GET /html/loginTest.html HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:23:28 -0500] "GET /index.html HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:23:49 -0500] "GET /index.html HTTP/1.1" 200 2352
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:23:49 -0500] "GET /js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:23:49 -0500] "GET /css/normalize.css HTTP/1.1" 200 6391
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:23:49 -0500] "GET /img/img1.jpg HTTP/1.1" 200 82943
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:23:49 -0500] "GET /css/main.css HTTP/1.1" 200 7626
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:23:49 -0500] "GET /img/img3.jpg HTTP/1.1" 200 550039
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:23:49 -0500] "GET /js/main.js HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:23:49 -0500] "GET /img/img2.jpg HTTP/1.1" 200 19222
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:23:49 -0500] "GET /js/plugins.js HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:23:50 -0500] "GET /site.webmanifest HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:23:52 -0500] "GET /decision.html HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:24:42 -0500] "GET /js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:24:42 -0500] "GET /site.webmanifest HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:24:44 -0500] "GET /index.html HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:24:44 -0500] "GET /js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:24:44 -0500] "GET /site.webmanifest HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:24:44 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:24:46 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 500 2427
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:25:03 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 200 2079
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:25:03 -0500] "GET /js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:25:04 -0500] "GET /site.webmanifest HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:25:04 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:33:17 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 200 2979
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:33:17 -0500] "GET /js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:33:17 -0500] "GET /site.webmanifest HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:33:17 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:33:42 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 200 2983
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:33:42 -0500] "GET /js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:33:42 -0500] "GET /site.webmanifest HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:33:42 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:35:05 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 200 2983
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:35:05 -0500] "GET /js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:35:05 -0500] "GET /site.webmanifest HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:35:05 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:36:09 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 200 3019
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:36:09 -0500] "GET /js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:36:09 -0500] "GET /site.webmanifest HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:36:09 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:36:16 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 200 3015
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:36:16 -0500] "GET /js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:36:16 -0500] "GET /site.webmanifest HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:36:16 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:37:48 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:37:48 -0500] "GET /js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:37:48 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:37:48 -0500] "GET /site.webmanifest HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:38:28 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 200 3514
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:38:28 -0500] "GET /js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:38:29 -0500] "GET /site.webmanifest HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:38:29 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:39:30 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 200 3432
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:39:30 -0500] "GET /js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:39:31 -0500] "GET /site.webmanifest HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:39:31 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:40:43 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 200 3435
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:40:43 -0500] "GET /js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:40:44 -0500] "GET /site.webmanifest HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:40:44 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:43:44 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 200 3595
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:43:44 -0500] "GET /js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:43:45 -0500] "GET /site.webmanifest HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:43:45 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:45:56 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 200 3690
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:45:56 -0500] "GET /js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:45:56 -0500] "GET /site.webmanifest HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:45:56 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:47:50 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 500 2450
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:47:51 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:49:31 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 500 2457
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:49:31 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:49:50 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 500 2467
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:49:50 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:50:02 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 200 3679
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:50:02 -0500] "GET /js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:50:02 -0500] "GET /site.webmanifest HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:50:02 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:50:26 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 200 3685
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:50:26 -0500] "GET /js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:50:26 -0500] "GET /site.webmanifest HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:50:26 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:51:14 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 200 3688
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:51:14 -0500] "GET /js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:51:15 -0500] "GET /site.webmanifest HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:51:15 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:51:41 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 500 2844
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:51:42 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:54:16 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 200 3760
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:54:16 -0500] "GET /js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:54:17 -0500] "GET /site.webmanifest HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:54:17 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:55:29 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 200 3762
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:55:29 -0500] "GET /js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:55:29 -0500] "GET /site.webmanifest HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:55:29 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:56:31 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 200 3786
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:56:31 -0500] "GET /js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:56:31 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:56:31 -0500] "GET /site.webmanifest HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:58:47 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 500 2537
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:58:48 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:59:00 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 200 3713
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:59:00 -0500] "GET /js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:59:01 -0500] "GET /site.webmanifest HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Feb/2019:17:59:01 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:18:00:10 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 200 3720
0:0:0:0:0:0:0:1 - - [25/Feb/2019:18:00:10 -0500] "GET /js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Feb/2019:18:00:11 -0500] "GET /site.webmanifest HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Feb/2019:18:00:11 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:18:01:07 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 200 3701
0:0:0:0:0:0:0:1 - - [25/Feb/2019:18:01:07 -0500] "GET /js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Feb/2019:18:01:08 -0500] "GET /site.webmanifest HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Feb/2019:18:01:08 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:18:11:32 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 200 4071
0:0:0:0:0:0:0:1 - - [25/Feb/2019:18:11:32 -0500] "GET /js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Feb/2019:18:11:33 -0500] "GET /site.webmanifest HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Feb/2019:18:11:33 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:18:12:14 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 200 4087
0:0:0:0:0:0:0:1 - - [25/Feb/2019:18:12:14 -0500] "GET /js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Feb/2019:18:12:15 -0500] "GET /site.webmanifest HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Feb/2019:18:12:15 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:18:12:31 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 200 4107
0:0:0:0:0:0:0:1 - - [25/Feb/2019:18:12:31 -0500] "GET /js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Feb/2019:18:12:31 -0500] "GET /site.webmanifest HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Feb/2019:18:12:32 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:18:13:21 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 200 4062
0:0:0:0:0:0:0:1 - - [25/Feb/2019:18:13:21 -0500] "GET /js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Feb/2019:18:13:22 -0500] "GET /site.webmanifest HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Feb/2019:18:13:22 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Feb/2019:18:13:53 -0500] "GET /jsp/decisionGuide.jsp HTTP/1.1" 200 4071
0:0:0:0:0:0:0:1 - - [25/Feb/2019:18:13:53 -0500] "GET /js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Feb/2019:18:13:53 -0500] "GET /site.webmanifest HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Feb/2019:18:13:53 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
